date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:48:11	37801/37801	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Dec%202013%2009:32:49%20GMT	http://demo.themepixels.com/webpage/shamcey/dashboard.html	C:/My%20Web%20Sites/Shamcey%20Admin%20Template/demo.themepixels.com/webpage/shamcey/dashboard.html	(from )
09:48:11	751/751	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2026%20Sep%202014%2002:48:10%20GMT	http://demo.themepixels.com/robots.txt		(from )
09:48:12	104834/104834	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Dec%202013%2011:28:44%20GMT	http://demo.themepixels.com/webpage/shamcey/css/style.default.css	C:/My%20Web%20Sites/Shamcey%20Admin%20Template/demo.themepixels.com/webpage/shamcey/css/style.default.css	(from http://demo.themepixels.com/webpage/shamcey/dashboard.html)
09:48:12	1033/1033	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Dec%202013%2011:28:39%20GMT	http://demo.themepixels.com/webpage/shamcey/css/responsive-tables.css	C:/My%20Web%20Sites/Shamcey%20Admin%20Template/demo.themepixels.com/webpage/shamcey/css/responsive-tables.css	(from http://demo.themepixels.com/webpage/shamcey/dashboard.html)
09:48:13	7086/7086	---M--	200	added ('OK')	application/javascript	date:Sat,%2007%20Dec%202013%2011:29:26%20GMT	http://demo.themepixels.com/webpage/shamcey/js/jquery-migrate-1.1.1.min.js	C:/My%20Web%20Sites/Shamcey%20Admin%20Template/demo.themepixels.com/webpage/shamcey/js/jquery-migrate-1.1.1.min.js	(from http://demo.themepixels.com/webpage/shamcey/dashboard.html)
09:48:15	7745/7745	---M--	200	added ('OK')	application/javascript	date:Sat,%2007%20Dec%202013%2011:29:55%20GMT	http://demo.themepixels.com/webpage/shamcey/js/modernizr.min.js	C:/My%20Web%20Sites/Shamcey%20Admin%20Template/demo.themepixels.com/webpage/shamcey/js/modernizr.min.js	(from http://demo.themepixels.com/webpage/shamcey/dashboard.html)
09:48:16	2030/2030	---M--	200	added ('OK')	application/javascript	date:Sat,%2007%20Dec%202013%2011:29:43%20GMT	http://demo.themepixels.com/webpage/shamcey/js/jquery.cookie.js	C:/My%20Web%20Sites/Shamcey%20Admin%20Template/demo.themepixels.com/webpage/shamcey/js/jquery.cookie.js	(from http://demo.themepixels.com/webpage/shamcey/dashboard.html)
09:48:18	9323/9323	---M--	200	added ('OK')	application/javascript	date:Sat,%2007%20Dec%202013%2011:29:53%20GMT	http://demo.themepixels.com/webpage/shamcey/js/jquery.uniform.min.js	C:/My%20Web%20Sites/Shamcey%20Admin%20Template/demo.themepixels.com/webpage/shamcey/js/jquery.uniform.min.js	(from http://demo.themepixels.com/webpage/shamcey/dashboard.html)
09:48:18	28663/28663	---M--	200	added ('OK')	application/javascript	date:Sat,%2007%20Dec%202013%2011:29:15%20GMT	http://demo.themepixels.com/webpage/shamcey/js/bootstrap.min.js	C:/My%20Web%20Sites/Shamcey%20Admin%20Template/demo.themepixels.com/webpage/shamcey/js/bootstrap.min.js	(from http://demo.themepixels.com/webpage/shamcey/dashboard.html)
09:48:20	1239/1239	---M--	200	added ('OK')	application/javascript	date:Sat,%2007%20Dec%202013%2013:24:23%20GMT	http://demo.themepixels.com/webpage/shamcey/js/flot/jquery.flot.resize.min.js	C:/My%20Web%20Sites/Shamcey%20Admin%20Template/demo.themepixels.com/webpage/shamcey/js/flot/jquery.flot.resize.min.js	(from http://demo.themepixels.com/webpage/shamcey/dashboard.html)
